,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
0,"In the election held this year '22, in the #Philippines, @mannypacquiao can make a good president for the Philippines & amp;He will work finely with USA diplomacy.#Mannypacquiao is the embodiment of upward mobility through hard-work (skill) & amp;talent.He whoops ass!https://t.co/et4uacuh1q",0.081,0.0,0.919,0.4926,Positive
1,Did @mannypacquiao join the #Beanz Fam!?WELCOME TO @AZUKIOFFICIAL FAM IDOL !!!🥹🥹,0.252,0.0,0.748,0.5216,Positive
2,@Endlessjeopardy what is the wind blowing through Manny Pacquiao's teeth?,0.0,0.0,1.0,0.0,Neutral
3,"@jedikristina @bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymanguper @mannypacquiao @nbgonzalesph @iampinglacson @senleiladelima you tell that to the courts, kakam copypaste.Not even the President can interfere with the judiciary.But trolls like you just dont understand, do you?

tsk.800 million pesos and you still cannot buy comprehension.or a brain ..",0.054,0.0,0.946,0.3612,Positive
4,"As we enter the last day of campaigning,
@bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymagawoka @mannypacquiao @nbgonzalesph @iampinglacson, I ask you to stand for truth and justice #pledgestofreela @senleiladelima if elected.
#Phvote #Election2022 https://t.co/n5FTA2Kneq",0.164,0.0,0.836,0.6908,Positive
5,Reporter’s Review: Aika Rey on Manny Pacquiao https://t.co/fg9ObwalkV via @youtube,0.0,0.0,1.0,0.0,Neutral
6,"Saul Canelo Alvarez in #Boxing Interview - ""Manny Pacquiao is a 'B-' Fighter"" @shosports: https://t.co/4th7up7Wyt @hboboxing",0.11,0.0,0.89,0.1531,Positive
7,@Mannypacquiao yes love this ❤️,0.697,0.0,0.303,0.7845,Positive
8,@vorztoz,0.0,0.0,1.0,0.0,Neutral
9,Maybe Yahuwah gave dreams to us young ones they call crazy to build a blockchain city in the northern mountainous area of Cordilleran preparing for the fire to come.The fire that melted the glacier for a flood and more?@bagbongmarcos @lenirobredo @mannypacquiao @iskomoreno,0.059,0.157,0.784,-0.5423,Negative
10,@Maamsyj @senleiladelima @mannypacquiao super bait ??attached to his driver who is his wife and son ??Is that your definition of super bait ???,0.294,0.0,0.706,0.8677,Positive
11,"My family is on my mom's side with Manny Pacquiao, on my dad's side with Isko while we and my nephews are on my dad's side with Leni 🤡",0.0,0.0,1.0,0.0,Neutral
12,"@Senleiladelima @mannypacquiao a little cold ma'am ,, the collaborators know that DU30 is leaving so they are just as good as the justice they have been throwing under Digong",0.195,0.0,0.805,0.743,Positive
13,@Senleiladelima @mannypacquiao is the act of acting. The evidence has reached 3dekada xerox still https://t.co/jqcmuh7g0j ka po. So you know what you did wrong.Mo Kai Aroyo,0.048,0.124,0.828,-0.4939,Negative
14,"Sen.Manny Pacquiao is ""amazed"" that the national government's outstanding debt went up to a new high of P 12.68 trillion and yet the Philippines ""lagged behind"" in its covid-19 response.|@Jmaurelioinq https://t.co/NZSE7SQXRR",0.115,0.135,0.749,0.0772,Positive
15,@Hwaghwang @senleiladelima @mannypacquiao you watch the news of what he is doing with the bilibid😁😁😁,0.0,0.0,1.0,0.0,Neutral
