,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
0,"@Arthurlongan @jhon_mcostani07 @smninews @lenirobredo owwww yeah how about you?Any other script aside from 'puppet'?It's overused because that's it.Or do you have nothing to rock because you can't call a thief?Btw or another milestone for the marcoses clan.The world knows ...

https://t.co/GKMI956XPF",0.066,0.0,0.934,0.4098,Positive
1,@Taehyung042619 @lenirobredo toxic,0.0,0.0,1.0,0.0,Neutral
2,"@BarryGutierrez3 Thank you sir.
Here we show that President Leni Robredo's administration is also",0.161,0.0,0.839,0.3612,Positive
3,"See Youuuu co-army to go to the De Avance meeting

#Lenikiko2022 #makatiispink #ayalaispink @lenirobredo",0.0,0.0,1.0,0.0,Neutral
4,Leni Robredo: The Woman Leading the Philippines' 'Pink Revolution' https://t.co/36AAWQMMF3,0.0,0.0,1.0,0.0,Neutral
5,"Grabe !!!!No one has ever inspired us to genuinely care for our neighbors/strangers the way @lenirobredo has.

People in this group have been offering free rides to anyone who wants to join the rally later but has no transpo.

VOTE FOR LEADERS WHO BRING OUT THE GOOD IN US!https://t.co/XYPXRBBVV0",0.235,0.047,0.718,0.8825,Positive
6,"Take a look at this map of the places that VP @lenirobredo has helped.#Receipts

https://t.co/K82ortnd6m

She is the leader I will vote for - someone who has been on the ground to hear the plight directly from the people but also inspired them to provide solutions.#Letlenilead https://t.co/GTMAB7MVI4",0.091,0.0,0.909,0.6486,Positive
7,#DZRHBIASED Undertaking a soft campaign interview for Bongbong Marcos now that sounds like a valedictorian address without @lenirobredo participation.,0.135,0.0,0.865,0.3612,Positive
8,"#JusticeForFredalba Amateurs, it's an obvious ploy by Bibi-Im supporters to stop Leni Robredo.Don't fall for it, it's a trap.",0.129,0.201,0.67,-0.1531,Negative
9,@jose_dot_ph @sotto_tito @lenirobredo @kikopangilinan you are told that bloated numbers of rallies ..,0.0,0.0,1.0,0.0,Neutral
10,Leni Robredo: The Woman Leading the Philippines' 'Pink Revolution' https://t.co/5A45B1Q83O,0.0,0.0,1.0,0.0,Neutral
11,@juvenal_1990 @lenirobredo @kikopangilinan happy birthday.,0.481,0.0,0.519,0.5719,Positive
12,@smninews @lenirobredo @kikopangilinan @COMELEC H2H is not over and now they are wasting time at the Comelec.😂😂,0.0,0.144,0.856,-0.4019,Negative
13,"Whatever the result of this election, we can't deny that Leni Robredo's term as VP is now the gold standard for the position.With less budget and no official mandate, she accomplished and helped a lot without any taint of corruption.No more blood-sucking spare tires, guys.",0.103,0.04,0.856,0.4588,Positive
14,Leni Robredo: The Woman Leading The Philippines' 'Pink Revolution' https://t.co/RQHRKWQalo #News #feedly,0.0,0.0,1.0,0.0,Neutral
15,"@inquiredotnet yes we will!And my president is Leni Robredo.
And the vice president ???Kiko Pangilinan!
 #Respectfully #Lenikiko2022",0.193,0.0,0.807,0.5892,Positive
16,@Krisaquinoworld @lenirobredo hahahha in your dreams !!Marcos gonna win and the Marcos will return to Malacañang! 🤣,0.345,0.0,0.655,0.8114,Positive
17,To Leni Robredo: Don't you lie to yellow but you're hiding in pink?,0.0,0.189,0.811,-0.4215,Negative
18,"Cry for @lenirobredo!🤧💗💗🌸🌺

We love you and we're always praying for your win madam president.Your win, is our country's win too.💗🌸🌺",0.504,0.085,0.411,0.9459,Positive
19,"""Any winner of the president, our lives are still the same.""But the video says otherwise.There is someone, finally, who reaches out to the people.Someone we can trust to never let us down and cater to our sentiments.Thank you @lenirobredo for being our hope.m",0.172,0.0,0.828,0.8074,Positive
20,"Saw the video of VP @lenirobredo talking to a man with autism in Agusan del Sur and Ghorl, I have never stopped crying.Imagine, we were so used to the thought that politicians are untouchables that we think:",0.047,0.0,0.953,0.1695,Positive
21,"I made gifs in support of @lenirobredo, @kikopangilinan & amp;Our fight for truth, change & amp;Hope.💖

#Swiftiesforlenikiko #armyforlenikiko #armyforleni #swiftiesforleni
#Makatiispink #Letlenilead #Ipanalona10to #Sefine Opening
#Taosataoparakayrobredo
#Taosataoparakaylenikiko https://t.co/dsskrq0bjq",0.169,0.088,0.743,0.34,Positive
