,Date,User,Tweet
0,2022-05-06 16:40:35+00:00,JiggySevilla,"@56audrey57 @VancouverEye Naiwan si Jr. It'll be just Leni, Isko, Ping Lacson, Pacquiao, Montemayor, Ernesto Abella and Ka Leody"
1,2022-05-06 16:02:15+00:00,9rhxy09g,"And it is surprising that Catholic church wants to support Leni bec accdng to them, Leni personifies the teachings of Catholic church and the catholic ideology.

Excuse me? Ernesto Abella has a masters degree in theology, so why not endorse him?
Hypocrites
#Election2022PH"
2,2022-05-06 13:27:31+00:00,gmanews,"Nag-ikot si presidential candidate Ernesto Abella sa Vigan, Ilocos Sur ngayong araw. Ipinaliwanag din niya ang kahalagahan ng pagtutok sa agrikultura sa bansa para kumita ang mga magsasaka. #Eleksyon2022

COURTESY: Ernesto Abella https://t.co/eVMOSeaXFf"
3,2022-05-06 08:53:56+00:00,EkonseptoPH,"ERNESTO ABELLA'S PLANS FOR INFRASTRUCTURES

#Halalan2022 #Ekonomustahan2022 #EkonseptoPH

Read full post: https://t.co/uVZZIveERx https://t.co/Vzj5WpLjTj"
4,2022-05-05 14:56:23+00:00,gmanews,"Bumisita si presidential candidate Ernesto Abella sa The Good Shepherd International ministry sa San Agustin, Candon City, Ilocos Sur ngayong araw para sa #Eleksyon2022.

COURTESY: Ernie Abella

Bisitahin ang https://t.co/0jbNLXHcen para sa mga balita tungkol sa #Eleksyon2022. https://t.co/j7N0Z8BptE"
5,2022-05-05 12:13:52+00:00,cnnphilippines,"Independent presidential and vice presidential candidates Ernesto Abella and Manny Lopez took the stage during the third round of the Comelec-KBP PiliPinas Forum 2022.

@crissydimatulac reports. https://t.co/aKKwOwgGRQ https://t.co/yRE1eGI81X"
6,2022-05-05 09:20:00+00:00,gmanews,"Presidential aspirant Ernesto Abella on Thursday said alternative jobs and businesses should be given to those who will be affected by the ban on e-sabong operations.

https://t.co/ZGfgXXJ46x"
7,2022-05-05 07:34:18+00:00,nolybig,"UNTVNewsRescue: RT Isinagawa ngayong araw ang ikatlong bahagi ng COMELEC-KBP forum kung saan sumalang ang presidential candidates na sina Manny Lopez at Ernesto Abella.

https://t.co/kzy6LLfHyY"
8,2022-05-05 05:21:03+00:00,UNTVNewsRescue,"Isinagawa ngayong araw ang ikatlong bahagi ng COMELEC-KBP forum kung saan sumalang ang presidential candidates na sina Manny Lopez at Ernesto Abella.

https://t.co/8QD1H13so1"
9,2022-05-05 03:52:38+00:00,K3naBonita,"Ernesto Abella | PiliPinas Forum 2022

Sa pangunguna ng COMELEC at KBP nagsanib pwersa ang mga radyo at television networks para maihatid ang forum na ito.
https://t.co/0bvGpKqD5e https://t.co/rMIa2RiN5h"
10,2022-05-05 03:48:07+00:00,1abuazzam,Ernesto Abella | Pilipinas Forum 2022 https://t.co/B8Ho8S5UgQ via @YouTube
11,2022-05-05 03:07:44+00:00,dzrhnews,"LIVE: Presidential candidate Ernesto Abella sa COMELEC-KBP PiliPinas Forum 2022 #Desisyon2022 

FB: https://t.co/PSzq7IRKpq https://t.co/Q8PEPhvbEJ"
12,2022-05-05 02:06:08+00:00,dzrhnews,"Sasalang naman sa COMELEC-KBP PiliPinas Forum 2022 sina vice presidential candidate Manny SD Lopez at presidential candidate Ernesto Abella ngayong araw, May 5, apat na araw bago ang eleksyon. #Desisyon2022 https://t.co/NF6X5hKYYZ"
