,Date,User,Tweet
0,2022-05-06 23:59:30+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Ang gusto ng mga Pilipino, may trabaho sila. Ayaw nila nung may inaabot lang sa kanila. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
1,2022-05-06 23:59:05+00:00,JoeyLedesma10,#dzrhbiased undertaking a soft campaign interview for bongbong Marcos now that sounds like a valedictorian address without @lenirobredo participation.
2,2022-05-06 23:58:38+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Marami tayong commitment sa WTO at international agreements na free trade. Crisis naman ngayon so bigyan muna natin ng ayuda [ang mga magsasaka] at ayusin ang sistema. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
3,2022-05-06 23:56:54+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Sunod na dapat pagtuunan ng pansin ay sektor ng agrikultura... kailangan i-organize ang farmers sa coop para mabawasan ang presyo ng production cost. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
4,2022-05-06 23:53:24+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Yung maliliit na negosyong may utang, hayaan muna natin dahil may pandemya nga at nagsara sila... Bigyan muna ng tax holiday, huwag munang koleksyunan ng buwis ng 3-6 buwan. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
5,2022-05-06 23:53:09+00:00,quesoooooo15,@curiosity2022 @SenImeeMarcos @bongbongmarcos @sandromarcos7 help the family po to file a case. Hindi na po tama ang mga nangyayare.
6,2022-05-06 23:51:15+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: 62% ng employees natin ay nasa MSMEs. 'Yan ang isa sa mga sektor na kailangan nating pagtuunan ng pansin. Kailangan may partnership ang pamahalaan at private sector. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
7,2022-05-06 23:51:02+00:00,RomuloValdez,@dzrhnews @bongbongmarcos Correct
8,2022-05-06 23:50:33+00:00,Majeannette08,@Moniqu3n @bongbongmarcos @SenImeeMarcos @sandromarcos7 isa pa toh turong turo kyo ano? bkit di nyo pinahuli! kakaloka alam nyo pala!
9,2022-05-06 23:50:13+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Kapag tinatanong namin ang mga tao, pinakaproblema talaga ang kawalang trabaho at mahal na bilihin. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
10,2022-05-06 23:49:03+00:00,avrilata1979,@AkoSiTitoMarco Hayop manloloko tlaga si @bongbongmarcos
11,2022-05-06 23:48:23+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Ang problema sa Pilipinas ay too much politics. Siguro bawasan na natin 'yan. Hadlang 'yan sa progreso at sa mga kailangan pa nating gawin. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
12,2022-05-06 23:48:03+00:00,snarwani,"Blue-tick Twitter seems to be mostly championing Leni Robredo in the Philippines election, so I instinctively feel a Bongbong Marcos presidency must be best for the rest of the world."
13,2022-05-06 23:47:47+00:00,dzrhnews,"@bongbongmarcos Presidential aspirant @bongbongmarcos: Basta may kakayahan at magaling ang isang tao [anuman ang pinagmulang partido], dapat isama natin para pagandahin ang ekonomiya at buhay ng tao. #Desisyon2022 #SamaSamaTayoPilipino 

https://t.co/TrVyXDG3AZ"
14,2022-05-06 23:46:54+00:00,webbxjosh,"Supreme Court ang nagsabi na may ill-gotten wealth ang pamilyang Marcos. Kung ayaw isauli ni Bongbong Marcos ang ninakaw ng kanyang magulang, isa na rin siyang magnanakaw."
