,Date,User,Tweet
0,2022-05-06 23:48:26+00:00,JmDV808,"In the election held this year ‘22, in the #Philippines, @MannyPacquiao can make a good president for the Philippines &amp; he will work finely with USA diplomacy. #MannyPacquiao is the embodiment of upward mobility through hard-work (skill) &amp; talent. He whoops ass! https://t.co/et4UACuH1Q"
1,2022-05-06 23:47:51+00:00,tradetherapist,Did @MannyPacquiao joined the #BEANZ fam!? Welcome to @AzukiOfficial fam idol!!! 🥹🥹
2,2022-05-06 23:47:31+00:00,License_Farm,@EndlessJeopardy What is the wind blowing through Manny Pacquiao's teeth?
3,2022-05-06 23:38:36+00:00,josekintanar,"@jedikristina @bongbongmarcos @ernieabella @IskoMoreno @lenirobredo @LeodyManggagawa @MannyPacquiao @NBGonzalesph @iampinglacson @SenLeiladeLima you tell that to the courts, kakam-copypaste. not even the president can interfere with the judiciary. but trolls like you just dont understand, do you?

tsk. 800 million pesos and you STILL cannot buy comprehension. or a brain.."
4,2022-05-06 23:36:00+00:00,jedikristina,"As we enter the last day of campaigning, 
@bongbongmarcos @ernieabella @IskoMoreno  @lenirobredo @leodymanggagawa @MannyPacquiao  @NBGonzalesph  @iampinglacson, I ask you to stand for truth and justice #PledgeToFreeLeila @SenLeiladeLima  if elected. 
#PHVote #Halalan2022 https://t.co/N5fTA2KNeQ"
5,2022-05-06 23:20:44+00:00,maverickaviIa,Reporter’s Review: Aika Rey on Manny Pacquiao https://t.co/Fg9ObWaLkv via @YouTube
6,2022-05-06 23:18:35+00:00,boostjockster,"Saul Canelo Alvarez in #boxing interview - ""Manny Pacquiao is a 'B-' Fighter"" @SHOSports: https://t.co/4tH7Up7wYT @HBOBoxing"
7,2022-05-06 23:04:03+00:00,REBDUCE,@MannyPacquiao yes love this ❤️
8,2022-05-06 23:03:37+00:00,DavidIsyael,@vorztoken @bongbongmarcos @lenirobredo @MannyPacquiao @IskoMoreno Real Visionaries sees the future not the money
9,2022-05-06 22:55:08+00:00,vorztoken,Maybe YAHUWAH gave dreams to us young ones they call crazy to build a Blockchain City in the northern mountainous area of Cordilleran preparing for the fire to come. The Fire that melted the glacier for a flood and more? @bongbongmarcos @lenirobredo @MannyPacquiao @IskoMoreno
10,2022-05-06 22:52:12+00:00,OLamug,@MaamSyj @SenLeiladeLima @MannyPacquiao sobrang bait?? nakikabit sa driver nya na me asawa at anak?? is that your definition of SOBRANG BAIT???
11,2022-05-06 22:48:08+00:00,SoquilaKyle,"Pamilya ko sa side ni mama puro kay Manny Pacquiao, sa side ng tatay ko kay Isko samantalang kaming magpipinsan at mga pamangkin namin sa side ng tatay ko puro Leni 🤡"
12,2022-05-06 22:47:52+00:00,tarantalilong,"@SenLeiladeLima @MannyPacquiao Konting tiis n lng maam ,, alam ksi ng mga collaborators na paalis na si du30 kaya kabadong kabado na babalikan sila ng hustisya na binaboy nila sa ilalim ni digong"
13,2022-05-06 22:38:13+00:00,guilbertabuyab5,@SenLeiladeLima @MannyPacquiao Ang gawa gawang kaso.yong umabot na ng 3dekada Xerox parin ang evidence kagaya ng https://t.co/jQcMuH7g0j ka po.kaya alam mo Kong anu ang ginawa mong masama.kaya ka nanjan.bumalik sau ang ginawa mo kai aroyo
14,2022-05-06 22:36:35+00:00,inquirerdotnet,Sen. Manny Pacquiao is “amazed” that the national government’s outstanding debt went up to a new high of P 12.68 trillion and yet the Philippines “lagged behind” in its COVID-19 response. | @JMAurelioINQ https://t.co/NZSE7sQXrr
15,2022-05-06 22:28:49+00:00,DagueJasmine,@HwagHWANG @SenLeiladeLima @MannyPacquiao Manood ka sa news kng ano ginagawa nyan sa bilibid😁😁😁
16,2022-05-06 22:14:27+00:00,Dr_AJknowsaword,"Just saw the #Trailer for @Jokoy
@eastersunday and I was hit with a Manny Pacquiao-flurry of emotions.
This looks so good and, to paraphrase one of the characters: I haven't see this many #Filipinos in one place...
well....outside of Carson, CA at least
https://t.co/HBb9OkE6Sh"
17,2022-05-06 22:02:40+00:00,bryllemvrtinez,"Why tf would I put Manny Pacquiao’s bday as my pin. 

Relatability: 0%"
18,2022-05-06 22:00:22+00:00,junlalin,Cebu campaign rally @sarahlahbati @mannypacquiao @richardgutz @iloveruffag &amp; @jinkeepacquiao https://t.co/xcshqqqt03
19,2022-05-06 21:25:31+00:00,cesarcaubalejo,"@2TownsMik91 @MannyPacquiao @senkokopimentel @barrygutierrez3 @MARoxas @MarRoxas2 @MarRoxas16 Hindi opinion ang sinabi mo kundi statement. Kung hindi tama ang sinasabi at pag sisira sa tao iyan ay may kaakibat na parusa sa batas. Kaya nga dumarami ang fake news dahil hindi nirereport at napaparusahan. I think its time. Pag maghabla si Mar Roxas, sa fiscal ka na sumagot. https://t.co/zwYC2qI4ln"
20,2022-05-06 21:04:56+00:00,LeilahniB,"❤️‍🔥🌱🌎🌲✊🙏🏻👼🏻🕯✨

#BathalangMaykapal ✊🙏🏻🕯✨

#SolidPCQUIAOandATIENZA 

@MannyPacquiao 
@lito_atienza https://t.co/O4TGWW7WNZ"
21,2022-05-06 21:03:26+00:00,JM_Dafourth,"@TVPatrol @MannyPacquiao We admire your braveness, dedication and good intentions for the country, but we have to admit malayo na  agwat ng dalawang leading.
If possible, consider giving way for Leni. Sinisigurado namin na buong bansa ang makikinabang sa votes na maise-share mo kay Leni.💗"
22,2022-05-06 21:03:03+00:00,adotang_,i promise you nobody cares for manny pacquiao like that not even jinkee
23,2022-05-06 20:54:33+00:00,jhoomarrr,The family gatherings when Manny Pacquiao was fighting &gt;&gt;&gt;
24,2022-05-06 20:29:21+00:00,seoksooinlove,"BOSET KA AHHAHAHAHAHAHA NAGISING YUNG DIWA KO AHAHHAHAHAA

LEE SEOKMIN, MANNY PACQUIAO VARIANT HAHAHHAHAHAHAHAHAAA"
25,2022-05-06 20:07:37+00:00,blondhecox,not to shit on it but this is only gonna be funny to filipino americans who only know about 5 tagalog words. also we don’t fuck with manny pacquiao anymore.
26,2022-05-06 20:05:31+00:00,hydecottage2009,"@jg17708 @SenLeiladeLima @MannyPacquiao Ok ka lang? Paano kung sayo o sa pamilya mong nangyari na ikinulong ka ng walang sala, ok lang ba sayo?"
