,Date,User,Tweet
0,2022-05-06 23:59:55+00:00,erwin_tupaz,"@ArthurLongan @jhon_mcostani07 @smninews @lenirobredo Owwww Yeah how about you? Any other script aside from 'Puppet'? Overused na kasi yan e. Or wala na kayong mabato kasi Hindi nyo matawag na magnanakaw? Btw o another milestone for the Marcoses clan. The world knows...

https://t.co/gkMi956xPF"
1,2022-05-06 23:59:50+00:00,GqbNight,@Taehyung042619 @lenirobredo Toxic
2,2022-05-06 23:59:27+00:00,macelkha2022,"@barrygutierrez3 Salamat po Sir.
Dito pinakita natin na tigasin din ang Administration ni President Leni Robredo"
3,2022-05-06 23:59:21+00:00,Akiii_TK,"SEE YOUUUU CO-ARMY NA PUPUNTA SA MITING DE AVANCE 

#LeniKiko2022 #MakatiIsPink #AyalaIsPink @lenirobredo"
4,2022-05-06 23:59:16+00:00,Big_City_Radio,Leni Robredo: The woman leading the Philippines' 'pink revolution' https://t.co/36aawqmMF3
5,2022-05-06 23:59:08+00:00,makisantos_,"Grabe!!!! No one has ever inspired us to genuinely care for our neighbors/strangers the way @lenirobredo has.

People in this group have been offering free rides to ANYONE who wants to join the rally later but has no transpo. 

Vote for leaders who bring out the good in us! https://t.co/XypxrbbVv0"
6,2022-05-06 23:59:06+00:00,sojessahmaezing,"Take a look at this map of the places that VP @lenirobredo has helped. #Receipts

https://t.co/k82OrTnd6m

She is the leader I will vote for - someone who has been on the ground to hear the plight directly from the people but also inspire them to provide solutions. #LetLeniLead https://t.co/gTmaB7mVi4"
7,2022-05-06 23:59:05+00:00,JoeyLedesma10,#dzrhbiased undertaking a soft campaign interview for bongbong Marcos now that sounds like a valedictorian address without @lenirobredo participation.
8,2022-05-06 23:59:00+00:00,voxdissentiens,"#JusticeForFredAlba amateurs, it's an obvious ploy by bibi-im supporters to stop Leni Robredo. Don't fall for it, it's a trap."
9,2022-05-06 23:58:53+00:00,Etnad08972903,@jose_dot_ph @sotto_tito @lenirobredo @kikopangilinan kayo nga sinasabihan nyan na bloated numbers of rallies..
10,2022-05-06 23:58:41+00:00,worldnews_guru,Leni Robredo: The woman leading the Philippines' 'pink revolution' https://t.co/5A45b1Q83O
11,2022-05-06 23:58:40+00:00,20LeniKiko22,@juvenal_1990 @lenirobredo @kikopangilinan Happy birthday.
12,2022-05-06 23:58:37+00:00,tonettemaico1,@smninews @lenirobredo @kikopangilinan @COMELEC Hindi umobra ang H2H and now they are wasting time at the COMELEC. 😂😂
13,2022-05-06 23:58:33+00:00,sonymandap,"Ano man ang resulta nitong eleksyon, we can't deny that Leni Robredo's term as VP is now the gold standard for the position. With less budget and no official mandate, she accomplished and helped a lot without any taint of corruption. No more blood-sucking spare tires, guys."
14,2022-05-06 23:58:21+00:00,drpatfarrell,Leni Robredo: The woman leading the Philippines' 'pink revolution' https://t.co/rQhrKwQalo #news #feedly
15,2022-05-06 23:58:19+00:00,pipopapaitan,"@inquirerdotnet Yes we will! At ang presidente ko ay si Leni Robredo.
At ang bise presidente??? Kiko Pangilinan! 
 #Respectfully #LeniKiko2022"
16,2022-05-06 23:58:01+00:00,LetzCelebrate,@KrisAquinoWORLD @lenirobredo Hahahha in your dreams!! Marcos gonna win at mgbabalik na naman ang mga marcos sa malakanyang!🤣
17,2022-05-06 23:57:46+00:00,lakasloob,To Leni Robredo: Hindi ba kasinungalingan yang yellow ka pero nagtatago ka sa pink?
18,2022-05-06 23:57:33+00:00,LunaMakalat,"Mga Iyakin for @lenirobredo! 🤧💗💗🌸🌺

We love you and we're always praying for your win Madam President. Your win, is our country's win too. 💗🌸🌺"
19,2022-05-06 23:57:32+00:00,LunaMakalat,"""Kahit sino pa manalong presidente, ganon parin naman ang buhay natin."" But the video says otherwise. There is someone, finally, who reaches out to the people. Someone we can trust to never let us down and cater to our sentiments. Thank you @lenirobredo for being our hope.m"
