,Date,User,Tweet
0,2022-05-06 13:03:11+00:00,imbasingle,omw to change my political stances to fit that of Based Faisal Mangondato https://t.co/jjqoP0LFax https://t.co/a06xwuCoGa
1,2022-05-06 09:13:31+00:00,saluchem,"Sa pangalawang isyu ng seryeng ito, kilalanin natin ang ikalawang grupo ng mga kumakandidato bilang pangulo ng Republika ng Pilipinas: Faisal Mangondato, Bongbong Marcos, Jose Montemayor Jr. at Manny “Pacman” Pacquiao.

Darating ang huling isyu ng seryeng ito ngayon ng 7:00 PM."
2,2022-05-05 21:19:45+00:00,Faisa1Pastrana,"BISMILLAHIR RAHMANIR RAHIM.
Assalamualaikum wa Rahmatullahi wa Barakatu.
In sha ALLAH, maPAMUMUNUAN NA NATIN ANG ating BANSANG PILIPINAS.
 ENDORSED BY: Tama ba mga ito???
1 A C&gt; ISKO MORENO
2 FranciscoFaisal&gt; #6 FAISAL MANGONDATO
3 H M E&gt; LENI ROBREDO
4 N M&gt; BONG BONG MARCOS https://t.co/ESb5Ea9iwj"
3,2022-05-05 11:17:02+00:00,mrmatsuya,@kalakumag E baka nga maungusan pa sya ni Faisal Mangondato sa huli e. Lol
4,2022-05-05 05:29:25+00:00,hermesksnoo,"We should not tolerate this kind of behaviour pero if u are going to disagree about this, then I have nothing to say na hehe #faisalmangondato"
5,2022-05-05 05:10:16+00:00,tsrdlf,"@stanyana__ Faisal mangondato ako😁, i wanna try something new, kasi ilang years na kumakandidato sinasabing mawawala ang corrupt pero mas lumalala nalang ang corruption sa pilipinas.. kaya dito nalang ako sa Federal, i'll have faith on him."
6,2022-05-05 02:03:07+00:00,EnzoMusikero,Totoo bang mas mataas pa si Faisal Mangondato kesa kay Ka Leody???
7,2022-05-05 01:00:07+00:00,BrainstormPH,"Let us dive deeper in their executive projects, laws passed, and awards outside of politics.

In this post let’s learn about Faisal Mangondato

#PILIpinas2022 #BrainstormPH #Halalan2022
----
Follow us at our social media sites:

FB: @brainstorm_PH
IG: @brainstorm.ph https://t.co/Ma56V6ai9K"
8,2022-05-04 11:48:13+00:00,cnnphilippines,"On the second day of the Comelec-KBP PiliPinas Forum 2022, candidates from the Kamalayang Kayumanggi Party Faisal Mangondato and Atty. Carlos Serapio took the stage along with Partido Reporma vice presidential candidate Tito Sotto.

@crissydimatulac reports. https://t.co/URjmyDfIaR"
9,2022-05-04 11:18:44+00:00,upstpa,"Ghaz, S. ( 2022, April 23). Faisal Mangondato’s Platforms If He Wins President &amp; Accomplishments. Philippine News. https://t.co/fEpBhMM3fD
Vote Pilipinas. (n.d.). 6. Mangondato, Faisal. https://t.co/uLNnFrcFtr 3/3"
10,2022-05-04 11:18:40+00:00,upstpa,"Sa gitna ng ating linggo, limang araw ang natitira na lamang bago natin piliin ang tadhana ng ating bansa. Kilalanin natin ang panglima at pang-anim na kandidatong tumatakbo para sa posisyon ng pangulo: si Panfilo “Ping” Lacson, at si Faisal Mangondato. 

#IsangLinggongPagboto https://t.co/yIZJmJtkFY"
11,2022-05-04 07:34:12+00:00,nolybig,"UNTVNewsRescue: RT Sumalang sa ikalawang araw ng Pilipinas Forum 2022 si presidential candidate Faisal Mangondato at ang ka-tandem niyang si Atty. Carlos Serapio. Sinundan ito ni vice presidential candidate Vicente “Tito” Sotto III.

https://t.co/pmjrN6lBs2"
12,2022-05-04 06:00:00+00:00,News5PH,"Sa kaniyang closing statement sa COMELEC-KBP PiliPinas Presidential Forum, idiniin ni presidential candidate Faisal Mangondato na gagawin niyang Pederalismo ang sistema ng pamahalaan ng Pilipinas. #BilangPilipino2022 https://t.co/DNbjWhr03U"
