,Date,User,Tweet
0,2022-05-06 20:56:44+00:00,DUANEDAVIDOFFCL,"Sa feed ko puro
""For Leni-Kiko🌷""
""For BBM-Sara♥️💚""

Pero wala akong nakitang
""For the Filipino Nation""🇵🇭

Hindi ba bumoboto tayo para sa bayan natin?
Let's vote wisely this coming election!
Let's vote as one Filipino Nation. 

#PHElections2022 
#Eleksyon2022 
#VoteWisely"
1,2022-05-06 20:47:54+00:00,DUANEDAVIDOFFCL,"MGA MANGGAGAWANG INA PARA SA SAMBAYANANG PILIPINO. 🙌🏻🇵🇭

#PHElections2022 
#Eleksyon2022 
#VoteWisely2022"
2,2022-05-06 20:10:40+00:00,CIAGillan,"People partying in Sentral shouted their support for Leni. Furthermore, the bar has emphasized on why people should vote wisely. There is hope. #PHElections2022"
3,2022-05-06 19:14:16+00:00,Aviiii29,"This #PHElections2022 is out of control. Train your mind to be stronger than your emotions.

#JusticeForFredAlba"
4,2022-05-06 17:51:23+00:00,Bpadi1113,"At the end of the day, Vote at the best of your own judgement. Tandaan na those candidates are applicants and should be judged fairly. Please respect each other's decision on who you want to support. Everyone is entitled to their own opinion ++ 
#PHElections2022"
5,2022-05-06 14:34:31+00:00,erroruser,We will not change people's minds by telling people we are better than them. But we can encourage them to be better people by setting a good example ourselves. Wag na natin pahirapan pang mahalin ang Pilipinas. Let's be an inspiration to each other. #Halalan2022 #PHElections2022
6,2022-05-06 14:11:35+00:00,RayonNgRoTin,"ganda so much ng new vlog dami learnings!! walang halong bias prAmis. watch na!!! #PHElections2022 #SOGIEEquality #WeeklyRoTin 🏳️‍🌈🇵🇭

https://t.co/iYcZ1PPVZm https://t.co/RQvCZpg1mx"
7,2022-05-06 13:57:45+00:00,BurneaJ,"May God help us to guide a better future.
#PHElections2022"
8,2022-05-06 13:30:50+00:00,rmoreno143,"Please feel to share! We have both English and Tagalog versions already. Thank you Ayie and Jan! Iba talaga ang mga Kakampinks. 🌷🙏🏼🔥
#BantayHalalan #PHElections2022 https://t.co/CydUgpxC3U"
9,2022-05-06 13:11:41+00:00,Iam_FilBrit,"What’s going on @COMELEC 
Transparency please!
#PHElections2022 
#WeDecide 
#PHVote 
#Halalan2022"
10,2022-05-06 12:58:35+00:00,philscomsoc,"INTERESADO ka bang pag-usapan ang nangyari sa eleksyon? Sumali sa susunod na webinar ng PCS: ""ANYARE? POST-ELECTION ANALYSIS"" Moderator si @cesdrilon. Mag-register dito: https://t.co/WdMWIo94wU #PCSWebinar #PHElections2022 #VotePH https://t.co/vn7WV7YyvF"
11,2022-05-06 12:00:16+00:00,saidshe_,"can't choose between the two. 
should I choose the serious one or the naughty one?🤣
#LetLeniLead2022 #KillingEveStanForLeni #PHElections2022 https://t.co/oTvh5v7quz"
12,2022-05-06 11:42:21+00:00,madmiraflor,"Boboto hindi para maki-ayon kundi para sa radikal na pagbabago patungo sa maginhawang buhay para sa mga manggagawang Pilipino. 

Salamat sa patuloy na pakikipaglaban para sa ating mga ka-uri, Ka @LeodyManggagawa. 

#PHElections2022 https://t.co/nwhLJFjQWc"
13,2022-05-06 11:01:19+00:00,reportrdotworld,"The Philippines is no stranger to tireless youth participation, especially when it's democracy that is at stake. #PHElections2022 #OurTurn2022
https://t.co/JTVkaNG482"
14,2022-05-06 11:00:00+00:00,reportrdotworld,"Vote wisely #PHElections2022 #OurTurn2022
https://t.co/zPnYEH4Vre"
15,2022-05-06 10:28:21+00:00,reportrdotworld,"Protect your vote. #PHElections2022 #OurTurn2022
https://t.co/c7L4z1vcAq"
16,2022-05-06 09:25:02+00:00,reportrdotworld,"Presidential candidate Isko Moreno will hold his miting de avance in Tondo on Saturday. #PHElections2022 #OurTurn2022
https://t.co/J9TJBGDI3f"
17,2022-05-06 08:30:00+00:00,reportrdotworld,"First election during the pandemic. Are you ready to cast your vote? #PHElections2022 #OurTurn2022

READ: https://t.co/wgV7U8Gp50 https://t.co/6GClHODqwC"
18,2022-05-06 08:04:08+00:00,reportrdotworld,Get rewarded for doing your part. #PHElections2022 #OurTurn2022 https://t.co/z7vuLX7JoT https://t.co/kPCjlnqgLW
19,2022-05-06 08:01:36+00:00,updoica,"ATM: Critical Points: Reflections on the Rhetorical Dimensions of the 2022 Philippine Elections | 6 May 2022 | 4-6PM

Watch here: https://t.co/S8TvWhaJV7

#Eleksyon2022
#PHElections2022 https://t.co/UCVjDj19wA"
20,2022-05-06 08:00:04+00:00,vxiph,"Did you know? The Philippine Commission on Elections permits coin flips as a way of deciding tied votes.

#VXIPH #VXIFamily #PHElections2022 https://t.co/VeS0ZEWAtI"
21,2022-05-06 07:16:19+00:00,reportrdotworld,"After months of fierce campaigning. #PHElections2022 #OurTurn2022
https://t.co/wZFx5tjpUA"
22,2022-05-06 07:08:31+00:00,PurpleRain04,"Ang taas ng #anxiety ko sa eleksyon na ito. Tipo naluluha nalang ako bigla. Ang laki kasi ng nakasalalay.

Real talk. Ang hirap mahalin ng #Pilipinas, pero hindi parin ako mawalan ng pag-asa.

#Halalan2022 
#PHElections2022 
#hope"
23,2022-05-06 06:00:00+00:00,reportrdotworld,"Presidential candidate Leni Robredo has a message for all the anxious #Kakampinks. #PHElections2022 #OurTurn2022

FULL STORY: https://t.co/XnGPtOGwsk https://t.co/Qw9n79jqRD"
24,2022-05-06 05:50:42+00:00,CarmelaZabala,"1|  PEDAGOGY OF #HOPE, #freedom  &amp; #creativity 
I desire a @lenirobredo Presidency. 
At long last, the education sector will be shaken up from mediocrity and liberated from being used to promote long-standing biases within the PH.  #PHElections2022 #LeniKiko2022 #DepEd"
25,2022-05-06 05:38:02+00:00,reportrdotworld,"Martial law victims fear that the horrors of Marcos' rule would be diminished if his son wins the presidency in #PHElections2022 #OurTurn2022
https://t.co/gaxOJTKQOu"
26,2022-05-06 05:20:00+00:00,reportrdotworld,"""Anxious for Leni"" is among many catchphrases used on social media by supporters of Robredo. #PHElections2022 #OurTurn2022
https://t.co/SZsLg8Cdz5"
27,2022-05-06 05:14:44+00:00,PEPalerts,#PHelections2022
28,2022-05-06 05:00:12+00:00,reportrdotworld,"Vote before you go to the mall on May 9. #PHElections2022 #OurTurn2022

STORY: https://t.co/hrWGLe6Lxa https://t.co/QncNyGcn7X"
29,2022-05-06 05:00:00+00:00,republikafm1,"Make sure to check for designated priority lanes to accommodate senior citizens, pregnant women and PWD more efficiently. #VoteFreelyAndFairly #PHElections2022 https://t.co/wr4mGzipBX"
30,2022-05-06 04:25:07+00:00,MaxGroemping,"🚨 How the Marcos campaign uses the simple slogan of “unity” to frame them as beyond politics and disagreements. @adelehwebb (@CrimeJusticeQUT &amp; @GAIGriffith) on next Monday's Philippines election  #PHElections2022 #VotePH #Halalan2022 
https://t.co/WDLJtkn7mu"
31,2022-05-06 04:24:56+00:00,PEPalerts,Loren Legarda speaks about practicing simple habits to mitigate climate change https://t.co/nsrivG9bDl #PHElections2022
32,2022-05-06 04:19:47+00:00,reportrdotworld,"Xian Gaza on Friday embraced his ""Marites"" title as he added a frame to his Facebook profile picture in support of the #LeniKiko2022 tandem. #PHElections2022 #OurTurn2022
https://t.co/X1TqFDYdl5"
33,2022-05-06 03:33:51+00:00,reportrdotworld,"Filipinos can report incidents of vote-buying to Comelec's Task Force Kontra Bigay #PHElections2022 #OurTurn2022
https://t.co/0AGmZ3bAQu"
34,2022-05-06 03:26:27+00:00,exo3mbotido,"Government position, power and money, yan ang main reason lang nila kung bakit sila tumatakbo ngayon eleksyon. Alam nyo kung sino sino sila. #Halalan2022 #PHElections2022"
35,2022-05-06 02:50:30+00:00,FMA_PH,Hindi ipinagbabawal ang pagdadala ng cellphone pero mahigpit na ipinagbabawal ang pagkuha ng larawan o paggawa ng kopya  ng nasagutang balota sa anumang paraan dahil maaari itong gamitin para sa pagbili o pagbenta ng boto. #PHElections2022 #PHVote #Halalan2022 https://t.co/iXObghAnjS
36,2022-05-06 02:02:27+00:00,FrancistotheJ,"Philippines today:

Politicians are treated like ancient gods. SHIT.

#Elections2022 #Eleksyon2022 
#PHElections2022"
37,2022-05-06 02:00:01+00:00,reportrdotworld,Choose wisely. #PHElections2022 #OurTurn2022 https://t.co/ibkwUllaMy
38,2022-05-06 01:00:21+00:00,FBRTLawFirm,"REMINDERS FOR THE 09 MAY 2022 ELECTIONS

Let’s all exercise our right to suffrage and vote wisely! 

#PHElections2022 #Elections2022 #VotePH #VotePH2022 #Halalan2022 https://t.co/ws6u3wsqNw"
39,2022-05-06 01:00:01+00:00,republikafm1,Don’t waste your vote. Carefully read the instructions on your ballot before submitting it.  #VoteFreelyAndFairly #PHElections2022 https://t.co/1cBhcQRF4P
40,2022-05-06 01:00:01+00:00,Fm2Manila,Don’t waste your vote. Carefully read the instructions on your ballot before submitting it.  #VoteFreelyAndFairly #PHElections2022 https://t.co/66MuUu8DiM
41,2022-05-06 00:55:07+00:00,philscomsoc,5 days to the 10th webinar of the National Forum on Communication and Democracy - “ANYARE? Post-Election Analysis.” Moderated by @cesdrilon. Register: https://t.co/pqG87m5hzq #PCSForumSeries #PHElections2022 #PHVOTE2022 https://t.co/O3SSMwTiCp
42,2022-05-05 23:22:59+00:00,philscomsoc,"INTERESADO ka bang pag-usapan ang nangyari sa eleksyon? Sumali sa susunod na webinar ng PCS: ""ANYARE? POST-ELECTION ANALYSIS"" Moderator si @cesdrilon. Mag-register dito: https://t.co/WdMWIo94wU #PCSWebinar #PHElections2022 #VotePH https://t.co/x64xHus0N6"
43,2022-05-05 23:16:10+00:00,mrbluesecretary,"3 Days Until The Philippine Election 2022:
Your vote matters. Be informed of important details to avoid voter suppression. You can visit https://t.co/DvRph4I1vf

#PHElections2022 #LeniKikoAllTheWay2022 #TropangAngat #Ipana7oNa10ParaSaLahat #KulayRosasAngBukas"
44,2022-05-05 22:36:44+00:00,nymph4dora_,"Hometown folks caravan-ing for the beloved mayor at 5am. The best mornings will always be in burley. 🌞
#karahibotparahaeleksyon
#PHElections2022"
45,2022-05-05 22:00:00+00:00,lavy23,"For a future we can hope for,
A future we should fight for.

#LetLeniLead #PHElections2022 #VotePH https://t.co/j6FPuX0qhk"
46,2022-05-05 20:18:21+00:00,SijPerilous,This. #PHElections2022 https://t.co/7PY943pOWt
47,2022-05-05 18:46:49+00:00,SweetxSummer1,"A lot of members are questioning their faith cuz of the current administration. 
There’s a lot who are “nanlamig” and slowly leaving. A lot of members are hypocrites. 

So don’t worry about their endorsement. Not everyone will follow. Lol.
#INC #PHElections2022 #LeniKiko2022"
48,2022-05-05 18:33:56+00:00,SweetxSummer1,"Vote wisely everyone. 
 #Philippines #PHElections2022"
49,2022-05-05 16:56:17+00:00,Nikichan09,"✨ Not enha related ✨

This is a post I've seen in facebook. BBM-SARA tandem is really the worst of all. This so sad for all the hardworking teachers that will serve in May 9. Election anxiety again. Vote wisely ppl. #PHElections2022 https://t.co/xIp1lCAUVK"
50,2022-05-05 16:14:23+00:00,jeffchronicles,Stress Reliever: Unfriending UniThieves FB friends. #PHElections2022
51,2022-05-05 16:10:59+00:00,neeeiiiiillllll,"I keep seeing posts where children are disrespecting, and even cursing out their parents for having different political beliefs. This election, just like any other issue on the news, will pass, but their disrespect won't be forgotten. #PHElections2022"
52,2022-05-05 15:56:09+00:00,M3Levanter,#PHElections2022 #Halalan2022 #halalanspace #Philippines
53,2022-05-05 15:07:58+00:00,pacs_ph,"Philippines vote: Marcos seen as pro-China; Robredo will likely test Beijing ties via @RadioFreeAsia #Marcos #Robredo #PHElections2022 #PACS

https://t.co/PTq18t7DRZ"
