,Date,User,Tweet
0,2022-05-06 23:19:03+00:00,inquirerdotnet,"LOOK: Senator Panfilo Lacson thanks his running mate Senate President Tito Sotto, and their team during their final rally before May 9 in Cavite on Friday. #VotePH #OurVoteOurFuture | 📷Ping Lacson 

READ: https://t.co/N7wrKSVuMm https://t.co/JZNLSOtyBq"
1,2022-05-06 20:29:44+00:00,kR4mx,"@Medtechsforleni @olanghigap @jorjmoroder Okay kay VP Leni since halos 2 way race lang naman sa presidency, but for sen Kiko, alanganin. Anjan si Tito Sotto."
2,2022-05-06 18:41:27+00:00,jnpangilinan79,"Explore search interest for Francis Pangilinan, Sara Duterte, Tito Sotto by time, location and popularity on Google Trends - https://t.co/fk8nd6Fj9b"
3,2022-05-06 16:26:15+00:00,dodowiedonut,"He is thinking of voting Tito Sotto daw, sabay sabay naman kaming magkakapatid nagsabi ng “sus, involved man ito hya han Pepsi Paloma rape issue”, then we told him ‘the story’. Now, he’s considering Kiko for VP 🥰"
4,2022-05-06 15:20:00+00:00,gmanews,"Ngayong gabi ang miting de avance ng tambalang Senador Ping Lacson at Senate President Tito Sotto sa Cavite. | May 6, 2022 https://t.co/V9IDmjv7YZ"
5,2022-05-06 15:16:14+00:00,ChukChenez,@akitabaquero Hahaha. Tito Sotto?
6,2022-05-06 14:55:11+00:00,itzmegianina,Maja &amp; Tito Sotto 🫶🏽 https://t.co/vx60v9vXr7
7,2022-05-06 14:12:27+00:00,janz77855,"Mas acceptable pa kung nag campaign si @mainedcm Kay Tito sotto kasi is part ng EB at kapatid ni bosing, pero yong campaign nya si atae is not acceptable kasi wala naman ginawa sa kanya si atae kundi sirain Lang ang career nya at ginawa syang cheap.🙄😂"
8,2022-05-06 13:41:28+00:00,faulkzerotwo,"@ughldn @introvert7teen Ang galing mo talaga anu? Parang siguradong sigurado ka fyan sa pinagsasabi mo 💀 di nga nya eniendorse si tito sotto pero kung makasabi ka na un ang Vp ni Alden parang alam na alam mo na, sinabi nya sau?🤡"
9,2022-05-06 13:38:18+00:00,radyopilipinas1,"TINGNAN I Nasa entablado na sina independent presidential candidate Ping Lacson at vice presidential candidate Tito Sotto at hinaharap ang kanilang mga taga-suporta sa kanilang miting de avance sa Carmona, Cavite. I via Nimfa Asuncion https://t.co/jMOWy8xD6Y"
10,2022-05-06 13:32:52+00:00,rapplerdotcom,"@ramboreports Lacson thanks his running mate Tito Sotto for not leaving him despite alleged offers: Sabi niya, hindi ko iiwan si Ping Lacson dahil nagsimula kaming lumahok sa laban na ito at matatapos kami na magkasama. Maraming salamat, partner. #PHVote #WeDecide 

https://t.co/7tg9W8JS2S"
11,2022-05-06 13:32:27+00:00,delighttsvt,bakit naman tito sotto paaaaa 🥹
12,2022-05-06 13:23:16+00:00,radyopilipinas1,TINGNAN I Nagpahayag rin ng suporta ang aktor na si Vic Sotto sa kanyang kapatid na si vice presidential bet Tito Sotto at kay independent presidential candidate Ping Lacson. I via Nimfa Asuncion https://t.co/5b9OlBORim
13,2022-05-06 13:20:44+00:00,HanaBordey,"Presidential candidate Ping Lacson &amp; VP bet Tito Sotto make a grand entrance here in their miting de avance here at Verdant Square in Carmona, Cavite. @gmanews @gmanewsbreaking https://t.co/441z7vnvGT"
