,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User,Tweet,translated,Positive,Negative,Neutral,Compound,Sentiment,Cleaned
0,0,0,0,2022-05-06 23:19:03+00:00,inquirerdotnet,"LOOK: Senator Panfilo Lacson thanks his running mate Senate President Tito Sotto, and their team during their final rally before May 9 in Cavite on Friday. #VotePH #OurVoteOurFuture | 📷Ping Lacson 

READ: https://t.co/N7wrKSVuMm https://t.co/JZNLSOtyBq","LOOK: Senator Panfilo Lacson thanks his running mate Senate President Tito Sotto, and their team during their final rally before May 9 in Cavite on Friday. #VotePH #OurVoteOurFuture | 📷Ping Lacson 

READ: https://t.co/N7wrKSVuMm https://t.co/JZNLSOtyBq",0.086,0.0,0.914,0.4404,Positive,look  senat panfilo lacson thank run mate senat presid tito sotto  team final ralli may cavit friday  ping lacson read 
1,1,1,1,2022-05-06 20:29:44+00:00,kR4mx,"@Medtechsforleni @olanghigap @jorjmoroder Okay kay VP Leni since halos 2 way race lang naman sa presidency, but for sen Kiko, alanganin. Anjan si Tito Sotto.","@Medtechsforleni @olanggigap @jorjmoroder okay with VP Leni since almost 2 way race in the presidency, but for Sen Kiko, unfortunately.Anjan is Tito Sotto.",0.065,0.0,0.935,0.1154,Positive,okay vp leni sinc almost way race presidency  sen kiko  unfortunately anjan tito sotto 
2,2,2,2,2022-05-06 18:41:27+00:00,jnpangilinan79,"Explore search interest for Francis Pangilinan, Sara Duterte, Tito Sotto by time, location and popularity on Google Trends - https://t.co/fk8nd6Fj9b","Explore search interest for Francis Pangilinan, Sara Duterte, Tito Sotto by time, location and popularity on Google Trends - https://t.co/fk8nd6Fj9b",0.264,0.0,0.736,0.7269,Positive,explor search interest franci pangilinan  sara duterte  tito sotto time  locat popular googl trend
3,3,3,3,2022-05-06 16:26:15+00:00,dodowiedonut,"He is thinking of voting Tito Sotto daw, sabay sabay naman kaming magkakapatid nagsabi ng “sus, involved man ito hya han Pepsi Paloma rape issue”, then we told him ‘the story’. Now, he’s considering Kiko for VP 🥰","He is thinking of Voting Tito Sotto, and my siblings and I said ""Sus, it is involved in Hya Han Pepsi Paloma Rape Issue"", then we told him 'the story'.Now, not considering Kiko for VP 🥰",0.0,0.125,0.875,-0.6908,Negative,think vote tito sotto  sibl said  sus  involv hya han pepsi paloma rape issue   told  the story  now  consid kiko vp
4,4,4,4,2022-05-06 15:20:00+00:00,gmanews,"Ngayong gabi ang miting de avance ng tambalang Senador Ping Lacson at Senate President Tito Sotto sa Cavite. | May 6, 2022 https://t.co/V9IDmjv7YZ","Tonight is the meeting of the Avance of Senator Ping Lacson and Senate President Tito Sotto in Cavite.|May 6, 2022 https://t.co/V9IDMJV7YZ",0.0,0.0,1.0,0.0,Neutral,tonight meet avanc senat ping lacson senat presid tito sotto cavite  may
5,5,5,5,2022-05-06 15:16:14+00:00,ChukChenez,@akitabaquero Hahaha. Tito Sotto?,@akakabaquero hahaha.Tito Sotto?,0.0,0.0,1.0,0.0,Neutral,hahaha tito sotto 
6,6,6,6,2022-05-06 14:55:11+00:00,itzmegianina,Maja &amp; Tito Sotto 🫶🏽 https://t.co/vx60v9vXr7,Maja & Amp;Tito below 🫶🏽 https://t.co/vx60v9vxr7,0.0,0.0,1.0,0.0,Neutral,maja amp tito
7,7,7,7,2022-05-06 14:12:27+00:00,janz77855,"Mas acceptable pa kung nag campaign si @mainedcm Kay Tito sotto kasi is part ng EB at kapatid ni bosing, pero yong campaign nya si atae is not acceptable kasi wala naman ginawa sa kanya si atae kundi sirain Lang ang career nya at ginawa syang cheap.🙄😂","It is even more acceptable if @mainedcm campaign to Tito Sotto because it is part of EB and Bosing's brother, but atae's campaign is not acceptable because atae did nothing to him but just destroy his career and made him cheap.🙄😂",0.108,0.099,0.793,-0.1441,Negative,even accept campaign tito sotto part eb bosing  brother  atae  campaign accept ata noth destroy career made cheap 
8,8,8,8,2022-05-06 13:41:28+00:00,faulkzerotwo,"@ughldn @introvert7teen Ang galing mo talaga anu? Parang siguradong sigurado ka fyan sa pinagsasabi mo 💀 di nga nya eniendorse si tito sotto pero kung makasabi ka na un ang Vp ni Alden parang alam na alam mo na, sinabi nya sau?🤡","@ughldn @introvert7TEEN are you really good?It seems like you're sure Fyan is what you are saying 💀 he doesn't eniens Tito Sotto but if you can tell Alden's VP it seems like you know, he said? 🤡",0.191,0.0,0.809,0.7606,Positive,realli good it seem like sure fyan say enien tito sotto tell alden  vp seem like know  said 
9,9,9,9,2022-05-06 13:38:18+00:00,radyopilipinas1,"TINGNAN I Nasa entablado na sina independent presidential candidate Ping Lacson at vice presidential candidate Tito Sotto at hinaharap ang kanilang mga taga-suporta sa kanilang miting de avance sa Carmona, Cavite. I via Nimfa Asuncion https://t.co/jMOWy8xD6Y","See I on stage Independent Presidential Candidate Ping Lacson and Vice Presidential Candidate Tito Sotto and their supporters at their Avance meeting in Carmona, Cavite.I via nimfa asuncion https://t.co/jmowy8xd6y",0.097,0.0,0.903,0.4404,Positive,see stage independ presidenti candid ping lacson vice presidenti candid tito sotto support avanc meet carmona  cavite i via nimfa asuncion
