,Date,User,Tweet
0,2022-05-06 22:59:55+00:00,DAarzadon,"My support is for the both of you!

I stan good people who could lead the nation with all honesty and integrity. 

For President Leni Robredo
For VP Doc Willie Ong #Halalan2022 #Eleksyon2022 #PiliPinas2022 https://t.co/oJ9VLX9on8"
1,2022-05-06 21:35:51+00:00,DocWillieOng,"Hindi matitigil ang away pulitika pagkatapos ng May 9. Magtutuloy ang away ng 6 taon. Nakakaumay na.
Doon tayo sa 27 taon nag-serbisyo ng libre sa mahihirap. At walang inaaway o sinisiraan na ibang kandidato.
Doc Willie Ong for Vice President #6 
#StressFree"
2,2022-05-06 17:36:23+00:00,damarfernandez,Ahay sayang si Doc Willie Ong nami pa naman platform nya for all medical Frontliners ta and medical support. hayst.
3,2022-05-06 16:20:20+00:00,BobyCarsan,DASH Diet: Pampababa sa High Blood – Payo ni Doc Willie Ong #769 https://t.co/wA6PItiS8Y
4,2022-05-06 12:49:05+00:00,Pau21s,But I'm voting for Doc Willie Ong for VP. 🙌🏼 👨🏻‍⚕️
5,2022-05-06 12:20:33+00:00,hombrepicante,@Hansha_xx Kiko has the track record. Willie Ong does not have experience in public service.
6,2022-05-06 11:58:40+00:00,lewnarian,"Laglag na sakin si Doc Willie Ong. Sorry po Doc, sana magkaroon ulit kayo ng pagkakataon na tumakbo bilang Senador sa susunod na halalan. Salamat po Doc!"
7,2022-05-06 11:05:30+00:00,rural_sg,"VICE PRESIDENT
Kiko Pangilinan - 117 (94.4%)
Vicente Tito Sotto - 3 (2.4%)
Doc Willie Ong - 2 (1.6%)
Walden Bello - 1 (0.8%)
Sara Duterte - 1 (0.8%)
*The rest of the candidates gained 0 votes.

#BumotoKa 
#Halalan2022
#2022UPRHSMockElections
#HandaSaHalalan"
8,2022-05-06 10:10:35+00:00,_katrinadomingo,"Ramel: “However, still what's more important is the warm reception that Doc Willie Ong and our senatorial candidates got from Pasigueños and that extends to Mayor Isko as well.”"
9,2022-05-06 10:02:18+00:00,NatividadKrizia,"Ang aking Bise Presidente at Popular na Doctor sa buong Mundo #6 Sa inyong balota Doctor Willie Ong! Maiba naman. Sana Po Doc ma meet ko po kayo in Person Bukas sa HQ po ninyo. We love you Doc Support kami family. 
@DocWillieOng 
@DocWillieOng 
@DocWillieOng https://t.co/WnomVLULr0"
