,0
0,look  senat panfilo lacson thank run mate senat presid tito sotto  team final ralli may cavit friday  ping lacson read 
1,okay vp leni sinc almost way race presidency  sen kiko  unfortunately anjan tito sotto 
2,explor search interest franci pangilinan  sara duterte  tito sotto time  locat popular googl trend
3,think vote tito sotto  sibl said  sus  involv hya han pepsi paloma rape issue   told  the story  now  consid kiko vp
4,tonight meet avanc senat ping lacson senat presid tito sotto cavite  may
5,hahaha tito sotto 
6,maja amp tito
7,even accept campaign tito sotto part eb bosing  brother  atae  campaign accept ata noth destroy career made cheap 
8,realli good it seem like sure fyan say enien tito sotto tell alden  vp seem like know  said 
9,see stage independ presidenti candid ping lacson vice presidenti candid tito sotto support avanc meet carmona  cavite i via nimfa asuncion
10,lacson thank run mate tito sotto leav despit alleg offers  said  leav ping lacson start particip fight end together thank you  partner     
11,tito sotto paaaaa
12,see also express support actor vic sotto brother vice presidenti bet tito sotto independ presidenti candid ping lacson i via nimfa asuncion
13,presidenti candid ping lacson  amp  vp bet tito sotto make grand entranc mite de avanc verdant squar carmona  cavite 
14,vp candid senat presid tito sotto advoc bottom up budget system government  want  new polit     budget reform answer that 
15,ver presidenti candid cito sito sotto nov del gowl del glag sild mite move advanc speight set backdrop philippin plagu crises   via
16,vice presidenti candid tito sotto deliv mite de avanc speech  set backdrop philippin plagu crises 
17,vic sotto  tito sotto vice presid know truth ther someth filipino family 
18,tito sotto multivers sadboi version
19,hahahahahaha omg migz tito sotto
20,actress kakai bautista entertain audienc lacson sotto mite de avanc carmona  cavite  wear shirt vp bet tito sotto photo 
21,kuyang gave flyer earlier   ma am  i m leni vp tito sotto ha bat seem like say goodby hahahahahah
22,senat ping lacson  senat presid tito sotto arriv mite de avanc venu carmona  cavite initi crowd estim organizers     lacson sotto media  via
23,also cite sotto  grandfather  vicent sotto  serv senator  h  tito sotto  continu good thing done people  
24,also cite sotto  grandfather  vicent sotto  serv senator  h  tito sotto  continu good thing done people   
25,senat ping lacson  senat presid tito sotto arriv mite de avanc venu carmona  cavite  initi crowd estim organizers     lacson sotto media 
26,dad  vp actual tito sotto today said vote senat kiko last day campaign tomorrow  late mind vote worthy 
