,Date,User,Tweet
0,2022-05-06 23:19:03+00:00,inquirerdotnet,"LOOK: Senator Panfilo Lacson thanks his running mate Senate President Tito Sotto, and their team during their final rally before May 9 in Cavite on Friday. #VotePH #OurVoteOurFuture | 📷Ping Lacson 

READ: https://t.co/N7wrKSVuMm https://t.co/JZNLSOtyBq"
1,2022-05-06 18:33:17+00:00,PondNewsAsia,"PonD News Asia, Carmona, CAVITE
Today, May 6, wraps up the campaign of independent presidential candidate Panfilo Lacson and Nationalista People's Coalition vice presidential bet Vicente Sotto with their senatoriables.
Photos: Kulotitay Marasigan / PonD News Asia https://t.co/jf8yijxyWh"
2,2022-05-06 14:07:29+00:00,PaoloSRomero,"WATCH: Presidential candidate Sen. Panfilo Lacson makes an appeal to voters to choose wisely when they vote on May 9 during the miting de avance with runningmate Senate Vicente Sotto III in Carmona, Cavite @PhilippineStar https://t.co/k0hkTZivti"
3,2022-05-06 13:46:17+00:00,wayodgirl,"@Dwarrior_granny ""Sen. Panfilo Lacson also said that one of the solutions to the country’s foreign debt would be a balanced budget that [...] 

[...] Marcos said the country’s debt-to-GDP ratio, which was at 63 percent, was still okay."" 

https://t.co/M9T5HYMLz8 https://t.co/QeE0nNACuy"
4,2022-05-06 13:26:41+00:00,PaoloSRomero,WATCH: Presidential candidate Sen. Panfilo Lacson and vice presidential candidate Senate President Vicente Sotto III make their entrance at their miting de avance @PhilippineStar https://t.co/aqawePXc1Z
5,2022-05-06 13:20:36+00:00,PaoloSRomero,WATCH: Vic Sotto endorses presidential candidate Sen. Panfilo Lacson and vice presidential candidate Senate President Vicente Sotto III at their miting de avance in Cavite @PhilippineStar https://t.co/o8Cbpdo3hl
6,2022-05-06 12:36:32+00:00,APublicLifePH,"Senator Panfilo Lacson said all Filipinos, including those part of the LGBTQ+ sector will be a standard policy of his administration, reiterating that all men, women, and other non-binary individuals will be accorded the same level of respect as basic human rights. | PNA https://t.co/EQi3wK16hj"
7,2022-05-06 10:55:09+00:00,PaoloSRomero,"LOOK: Rappers and other artists perform ahead of the speeches of independent presidential candidate Panfilo Lacson and vice presidential running mate Senate President Vicente Sotto III in their miting de avance in Carmona, Cavite @PhilippineStar https://t.co/Dut53H9kLP"
8,2022-05-06 10:30:32+00:00,PaoloSRomero,"WATCH: The miting de avance or final campaign rally of independent presidential candidate Sen. Panfilo Lacson and vice presidential candidate Senate President Vicente Sotto III and members of their senatorial slate now underway in Carmona, Cavite @PhilippineStar https://t.co/MhEvVAvad8"
9,2022-05-06 10:10:09+00:00,inquirerdotnet,"WATCH: Situation here at Verdant Square in Carmona, Cavite where Sen. Panfilo Lacson and Senate President Vicente Sotto III are set to hold their miting de avance before the May 9 polls. #VotePH | @CMRamosINQ https://t.co/ypOLOXnkez"
