,Time,User,Tweet
0,2023-01-21 17:26:54+00:00,dreycanoneo,when can this back pain go away so i can do my things already bro
1,2023-01-21 16:51:40+00:00,ChangsubSubs,"RT @btob_joo: 230121 인🌟스토리
구리 진짜 볼 때마다 커있어ㅋㅋ
익숙한 체크바지ㅋㅋㅋ
명절에 친구랑 즐기는 중이구나😆 https://t.co/R9vh6eLNQC"
2,2023-01-21 16:09:29+00:00,izmechanti,新年快乐! 恭喜发财! ✨🧧🎊
3,2023-01-21 16:03:09+00:00,universal_sci,"The World’s Next Megacities

(Credit: statista / https://t.co/7DnuqtVuu2 ) https://t.co/IDWXBz7EkN"
4,2023-01-21 14:18:18+00:00,simontyacol,@izokyle mission impossible
5,2023-01-21 14:13:16+00:00,izokyle,may cctv na tam balay nayawa how tf do i go about my business undetected now
6,2023-01-21 13:03:01+00:00,9GAG,"Friend 1: I just bought a house
Friend 2: I’m going on a 2-week Europe trip
Me: https://t.co/AP5i57oLmm"
7,2023-01-21 13:02:18+00:00,todaysusc,"Today's Carolinian has been operating independently since 2019, without funding from the university.  To support th… https://t.co/RHzADAHKqP"
8,2023-01-21 13:02:18+00:00,todaysusc,"—
Feature by Iris Divinagracia
Visual by Soda

Visit Today's Carolinian's official social media channels: https://t.co/9xV7OOiZyq"
9,2023-01-21 13:02:17+00:00,todaysusc,"San Diego said with glee, “I expect a lot of creative inspiration, connecting with other creatives, and [for me to]… https://t.co/ljx9sIoAS5"
10,2023-01-21 13:02:17+00:00,todaysusc,"Currently taking Bachelor of Fine Arts Major in Advertising Arts in the University of San Carlos (USC), she tabled… https://t.co/TZDAfPrbGU"
11,2023-01-21 13:02:16+00:00,todaysusc,"Liana San Diego, a twenty-one-year-old Carolinian singer-songwriter, was among the individuals in the diverse popul… https://t.co/5IglMgHuhY"
12,2023-01-21 13:02:15+00:00,todaysusc,"Liana San Diego’s Sound of the Season

Read more here: https://t.co/5LNTib9Vpn https://t.co/ylFVOnQwBV"
13,2023-01-21 12:54:05+00:00,todaysusc,"Today's Carolinian has been operating independently
since 2019, without funding from the university. To
support the… https://t.co/j6Fb4p0uwe"
14,2023-01-21 12:54:05+00:00,todaysusc,"—
Photos by Lance Gabriel and Pearl
Caption by Iris Gail Divinagracia

Visit Today’s Carolinian’s official social m… https://t.co/8KomDydd1z"
15,2023-01-21 12:50:04+00:00,OFFICIALBTOB,"[📻] KBS Cool FM '비투비의 키스 더 라디오' 출연 안내

잠시 후 10시, KBS Cool FM '#비투비의키스더라디오'에 민혁이 출연합니다!
즐거운 설 연휴 보내시고 계신가요?😄
비키라 람디가… https://t.co/ovRXSOUo9U"
